Date,Region,Type,Value
2021-02-01,Allover Bangladesh,Confirmed Cases,443.0
2021-02-02,Allover Bangladesh,Confirmed Cases,525.0
2021-02-03,Allover Bangladesh,Confirmed Cases,438.0
2021-02-04,Allover Bangladesh,Confirmed Cases,485.0
2021-02-05,Allover Bangladesh,Confirmed Cases,435.0
2021-02-06,Allover Bangladesh,Confirmed Cases,305.0
2021-02-07,Allover Bangladesh,Confirmed Cases,292.0
2021-02-08,Allover Bangladesh,Confirmed Cases,316.0
2021-02-09,Allover Bangladesh,Confirmed Cases,387.0
2021-02-10,Allover Bangladesh,Confirmed Cases,388.0
2021-02-11,Allover Bangladesh,Confirmed Cases,418.0
2021-02-12,Allover Bangladesh,Confirmed Cases,404.0
2021-02-13,Allover Bangladesh,Confirmed Cases,291.0
2021-02-14,Allover Bangladesh,Confirmed Cases,326.0
2021-02-15,Allover Bangladesh,Confirmed Cases,446.0
2021-02-16,Allover Bangladesh,Confirmed Cases,396.0
2021-02-17,Allover Bangladesh,Confirmed Cases,443.0
2021-02-18,Allover Bangladesh,Confirmed Cases,391.0
2021-02-19,Allover Bangladesh,Confirmed Cases,406.0
2021-02-20,Allover Bangladesh,Confirmed Cases,350.0
2021-02-21,Allover Bangladesh,Confirmed Cases,327.0
2021-02-22,Allover Bangladesh,Confirmed Cases,366.0
2021-02-23,Allover Bangladesh,Confirmed Cases,399.0
2021-02-24,Allover Bangladesh,Confirmed Cases,428.0
2021-02-25,Allover Bangladesh,Confirmed Cases,410.0
2021-02-26,Allover Bangladesh,Confirmed Cases,470.0
2021-02-27,Allover Bangladesh,Confirmed Cases,407.0
2021-02-28,Allover Bangladesh,Confirmed Cases,385.0
2021-03-01,Allover Bangladesh,Confirmed Cases,585.0
2021-03-02,Allover Bangladesh,Confirmed Cases,515.0
2021-03-03,Allover Bangladesh,Confirmed Cases,614.0
2021-03-04,Allover Bangladesh,Confirmed Cases,619.0
2021-03-05,Allover Bangladesh,Confirmed Cases,635.0
2021-03-06,Allover Bangladesh,Confirmed Cases,540.0
2021-03-07,Allover Bangladesh,Confirmed Cases,606.0
2021-03-08,Allover Bangladesh,Confirmed Cases,845.0
2021-03-09,Allover Bangladesh,Confirmed Cases,912.0
2021-03-10,Allover Bangladesh,Confirmed Cases,1018.0
2021-03-11,Allover Bangladesh,Confirmed Cases,1051.0
2021-03-12,Allover Bangladesh,Confirmed Cases,1066.0
2021-03-13,Allover Bangladesh,Confirmed Cases,1014.0
2021-03-14,Allover Bangladesh,Confirmed Cases,1159.0
2021-03-15,Allover Bangladesh,Confirmed Cases,1773.0
2021-03-16,Allover Bangladesh,Confirmed Cases,1719.0
2021-03-17,Allover Bangladesh,Confirmed Cases,1865.0
2021-03-18,Allover Bangladesh,Confirmed Cases,2187.0
2021-03-19,Allover Bangladesh,Confirmed Cases,1899.0
2021-03-20,Allover Bangladesh,Confirmed Cases,1868.0
2021-03-21,Allover Bangladesh,Confirmed Cases,2172.0
2021-03-22,Allover Bangladesh,Confirmed Cases,2809.0
2021-03-23,Allover Bangladesh,Confirmed Cases,3554.0
2021-03-24,Allover Bangladesh,Confirmed Cases,3567.0
2021-03-25,Allover Bangladesh,Confirmed Cases,3587.0
2021-03-26,Allover Bangladesh,Confirmed Cases,3737.0
2021-03-27,Allover Bangladesh,Confirmed Cases,3674.0
2021-03-28,Allover Bangladesh,Confirmed Cases,3908.0
2021-03-29,Allover Bangladesh,Confirmed Cases,5181.0
2021-03-30,Allover Bangladesh,Confirmed Cases,5042.0
2021-03-31,Allover Bangladesh,Confirmed Cases,5358.0
2021-04-01,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-02,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-03,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-04,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-05,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-06,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-07,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-08,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-09,Allover Bangladesh,Confirmed Cases,5396.5
2021-04-10,Allover Bangladesh,Confirmed Cases,5343.0
2021-04-11,Allover Bangladesh,Confirmed Cases,5396.5
